ime,visina,stevilo_poti
Planina v Prodih,1070,1
Planina Ognjenik,1060,1
Kosijev dom na Vogarju,1054,1
Slapovi v Kotu,1050,1
Partizanska bolnišnica na Mežakli,1050,1
Koča na planini Stador,1050,0
Kup,1046,2
Planina Obranica,1035,3
Planinsko zavetišče Slatna,1023,1
Vodnikov razglednik,1017,2
Jezerska planina / Alpe del Lago,1006,1
Planina za Jamo,1005,1
Studor,1002,3
Koča na planini Kuhinja,1002,2
Aljažev dom v Vratih,1001,1
Klatnica,1000,1
Planina Laška seč,1000,1
Izvir Soče,990,1
Poloje,981,1
Sveta Marjeta pod Stolom,973,1
Planina Mija,970,3
Ožarjeni kamen,960,1
Planina Ravne,956,1
Gulj,954,1
Slap Suha,950,1
Rudnica,946,8
Boršt,931,3
Slap Zaročenca,930,0
Ingotova koča na planini Jesenje,930,2
Zgornje Mangartsko jezero,929,3
Spodnje Mangartsko jezero,924,3
Planina Rčitno,900,4
Kres nad Kočno,890,1
Planina Blatce,888,2
Kovinarska koča v Krmi,870,3
Lemovje,856,1
Sv. Louronac / San Lorenzo,850,1
Vrše,850,2
Izvir Boke,850,1
Slap Peričnik - zgornji slap,850,1
Spodnji Martuljkov slap,850,1
Zelenci,845,3
Grančišče,844,4
Logje,840,1
Hom pri Bledu,834,3
Jezero Jasna,830,1
Pokljuška soteska (luknja),830,1
Poljanska baba,830,1
Brezje / Montemaggiore,819,1
Sv. Peter in Pavel (Perati),812,1
Humčič,810,2
Žerjavec (Kavče),805,2
Koča na Petrovem Brdu,804,1
Planina Črča,800,1
Slap Peričnik - spodnji slap,800,3
Slap Savica,794,1
Počitniški dom v Možnici,793,1
Kamin Široka polica,780,1
Slap Mostnice,773,1
Rio Bianco / Beli potok,770,0
Korita Mlinarice,770,1
Sveti Lenart (Bača pri Podbrdu),751,1
Koča pri Peričniku,750,2
Slap Slatenik,750,1
Okrepčevalnica Slap Voje,745,1
Gogalova lipa,725,2
Mladinski izobraževalni center v Bavšici,725,1
Jamnikov spodmol,720,1
Belopotoški slap,720,1
Jezero Kreda,715,2
Žlejžn,710,4
Dolina Škratov,700,1
Slap Parabola,700,1
Izvir Tolminke,695,2
Mala Osojnica,691,2
Koča na Vojah,690,1
Gorejca,680,1
Slap Boka,680,3
Jezero Kreda v dolini Radovne,674,1
Izvir Bele,665,1
Izvir Lipnika,660,1
Spominsko obeležje Aleš Kunaver,660,1
Jezerce v dolini Radovne,657,1
Koča pri Savici,653,3
Hermanova utrdba,650,1
Peč (razgledišče),650,1
Straža,646,1
Marija Snežna v Breginjskem kotu,645,1
Sveta Katarina na Homu,634,2
Izvir Bohinjske Bistrice,630,1
Poglejska cerkev,630,1
Dobra gora,620,1
Blejski grad,599,1
Ribenska gora,588,1
Ajdovski gradec,580,2
Korita Možnice (Nemčlje),580,1
Javorca,571,1
Planina Prode,555,1
Jama Srnica,550,1
Iglica,550,1
Sveti Janez Krstnik (Ribčev Laz),532,1
Slap Šum v Blejskem Vintgarju,520,1
Mlina peč,506,1
Žičnica čez Tolminko,500,1
Tonovcov grad pri Kobaridu,500,1
Gradišče (Bodešče),499,2
Sveti Lenart (Bodešče),485,2
Velika korita Soče,480,1
